N1,T1,N2,T2,N3,T3,N4
2,214,4,296,1,152,1
2,208,4,248,1,168,1
2,192,4,232,1,168,1
9,424,4,144,4,176,7
9,360,4,168,4,192,7
9,392,4,176,4,160,7
9,328,2,208,6,272,0
9,272,2,200,6,256,0
9,272,2,256,6,248,0
0,224,7,256,2,208,3
0,224,7,264,2,200,3
0,223,7,248,2,184,3
2,224,5,192,8,360,2
2,232,5,200,8,328,2
2,200,5,184,8,232,2
0,272,4,176,7,216,3
0,248,4,192,7,208,3
0,240,4,192,7,208,3
4,184,1,248,3,184,3
4,200,1,256,3,192,3
4,208,1,296,3,192,3
0,240,6,328,5,200,4
0,232,6,208,5,184,4
0,256,6,208,5,192,4
7,191,8,209,4,248,9
7,232,8,224,4,304,9
7,216,8,232,4,248,9
5,184,5,144,5,208,8
5,176,5,152,5,208,8
5,192,5,143,5,209,8
2,207,4,192,1,152,1
2,200,4,216,1,168,1
2,312,4,1072,1,160,1
9,312,4,144,4,160,7
9,320,4,136,4,184,7
9,328,4,176,4,216,7
9,328,2,280,6,328,0
9,296,2,224,6,256,0
9,280,2,248,6,304,0
0,224,7,232,2,200,3
0,272,7,304,2,216,3
0,224,7,264,2,176,3
2,225,5,583,8,232,2
2,200,5,192,8,200,2
2,232,5,280,8,232,2
0,312,4,200,7,272,3
0,264,4,216,7,272,3
0,248,4,200,7,248,3
4,192,1,232,3,120,3
4,176,1,216,3,152,3
4,152,1,248,3,144,3
0,288,6,200,5,160,4
0,272,6,232,5,160,4
0,304,6,192,5,176,4
7,176,8,352,4,248,9
7,184,8,223,4,241,9
7,168,8,200,4,216,9
5,152,5,160,5,176,8
5,168,5,128,5,192,8
5,160,5,144,5,144,8
