182,216,264
200,208,256
192,184,240
176,208,200
192,232,216
199,240,208
192,216,264
192,248,248
200,208,240
224,192,160
208,176,168
223,168,169
207,200,192
208,216,168
232,208,176
192,184,160
168,176,152
191,184,160
199,152,184
200,136,232
200,144,208
175,144,192
184,136,232
176,128,192
168,184,208
176,176,192
168,176,176
159,200,177
192,200,176
160,192,184
318,376,464
368,384,624
392,384,424
784,448,544
312,408,488
351,384,464
504,488,376
344,512,384
439,472,432
480,296,312
456,287,280
496,312,272
400,416,416
520,439,553
472,408,576
392,360,192
568,312,175
312,312,144
560,216,280
423,216,361
368,160,280
472,168,304
352,135,568
304,184,272
384,616,384
632,391,320
240,368,360
448,280,248
295,249,239
256,232,200
240,280,336
256,353,335
256,280,352
240,280,304
248,360,408
264,344,360
280,408,392
336,376,336
312,824,368
432,224,216
368,224,192
312,224,192
592,464,448
312,400,816
336,352,520
288,328,168
280,263,169
280,240,128
320,160,248
336,143,241
304,144,240
272,120,224
232,120,208
264,112,240
240,256,264
208,280,256
223,336,272
200,200,168
232,424,176
200,232,184
206,264,296
224,263,320
208,264,320
240,288,280
223,312,288
232,304,296
224,312,904
240,367,305
200,280,224
368,232,167
271,465,231
464,256,176
328,368,344
376,336,360
376,416,456
296,272,168
456,296,128
272,312,184
296,128,176
280,160,200
296,176,224
255,144,208
240,144,208
240,136,176
223,256,256
224,248,248
248,256,296
216,208,201
256,200,200
232,184,184
217,296,360
248,280,416
208,288,272
240,608,280
368,312,328
320,352,360
360,336,176
448,224,184
368,440,448
400,505,455
352,328,432
288,288,120
319,313,119
312,344,144
424,144,280
384,128,232
392,136,280
376,136,280
352,128,240
352,136,273
216,424,248
184,440,320
192,360,296
240,312,192
192,208,184
192,231,152
342,296,400
280,287,385
240,256,296
336,400,416
248,328,328
264,296,272
248,320,320
240,320,344
336,536,400
384,320,320
328,279,257
344,280,240
360,376,360
343,400,392
376,360,360
319,312,264
232,552,272
272,248,200
304,176,265
320,216,288
296,208,248
264,168,232
272,168,232
232,160,216
255,304,328
272,352,336
264,272,280
216,233,199
264,256,216
256,264,232
230,232,280
192,224,224
184,216,224
240,192,240
256,224,264
232,232,265
216,240,224
200,224,216
200,215,233
296,232,192
240,216,184
272,207,184
184,248,232
192,224,208
200,223,216
216,264,208
216,248,192
248,256,216
256,200,184
232,192,184
231,193,176
224,160,224
216,168,248
248,160,216
272,184,208
280,143,225
400,232,248
384,336,328
320,280,279
145,168,216
184,160,176
136,152,200
192,192,208
184,160,208
192,152,232
167,200,168
184,208,184
216,184,216
191,185,191
200,216,184
184,200,160
175,192,208
176,176,192
176,184,200
176,200,168
184,208,176
168,200,160
176,176,184
168,160,160
192,184,184
152,152,200
175,176,208
192,160,264
200,160,192
208,151,193
216,144,200
216,176,160
232,160,152
280,152,168
211,328,328
184,248,264
200,264,232
248,192,200
424,200,240
320,168,224
288,488,232
208,248,183
192,216,192
208,248,176
232,240,143
224,224,144
224,248,224
199,240,273
224,200,256
264,288,160
272,255,168
232,304,152
336,416,176
296,271,168
240,192,144
232,136,224
311,112,232
216,128,208
256,120,160
271,111,169
272,120,160
264,136,144
296,152,136
224,136,144
327,240,136
199,176,129
216,192,112
424,232,192
359,169,159
256,208,160
208,232,368
192,240,168
184,200,176
168,272,176
248,240,176
199,232,160
208,144,128
240,168,160
192,200,232
176,168,208
168,168,208
232,224,216
199,184,168
272,248,200
200,224,168
167,216,152
208,264,200
192,232,208
183,224,208
176,272,240
256,128,168
232,119,160
248,136,168
246,200,320
176,184,288
216,175,264
176,184,256
216,184,176
200,192,216
200,240,168
192,192,160
240,272,184
176,160,120
176,159,104
160,176,104
184,240,264
488,288,240
176,256,264
135,240,224
128,304,239
127,288,232
280,240,272
256,568,208
208,208,232
120,232,256
127,225,223
120,280,248
320,104,104
167,112,121
192,112,112
272,280,200
272,272,207
280,264,192
145,248,312
168,240,320
192,272,336
368,160,280
232,247,233
408,176,416
200,272,200
240,384,248
247,264,288
344,256,200
184,256,120
368,456,160
208,336,280
208,288,296
240,360,336
112,352,240
240,336,168
256,320,208
296,384,216
327,392,280
208,224,184
328,128,232
472,127,321
352,152,184
384,152,272
368,136,256
632,192,256
504,176,216
544,168,192
238,240,272
225,255,264
216,288,280
296,216,248
320,224,272
279,208,240
408,328,312
272,279,273
288,377,303
160,240,192
176,239,185
136,472,208
392,272,312
312,303,321
272,408,320
280,384,208
272,279,184
272,280,208
416,264,256
352,288,327
336,264,248
432,256,296
407,257,320
344,240,352
392,168,296
376,151,224
328,224,280
544,176,192
392,248,208
392,232,160
189,153,111
176,144,120
304,168,120
311,120,153
352,96,40
376,160,200
312,257,263
280,224,224
304,224,248
199,289,168
240,264,224
216,216,176
192,199,168
192,192,192
200,224,208
264,184,352
384,192,264
208,176,224
152,280,136
151,217,135
304,248,136
232,216,176
248,344,208
264,216,176
216,208,248
176,240,216
264,240,224
200,184,184
152,144,176
152,144,184
174,152,152
200,207,137
225,176,159
200,152,208
200,160,208
199,176,224
168,208,168
160,240,152
160,207,152
176,184,184
176,160,200
192,184,231
184,176,160
184,168,160
176,183,152
176,168,176
160,168,192
168,168,184
184,160,160
184,152,184
200,152,184
176,215,224
160,152,208
168,192,192
168,224,200
168,200,208
175,225,215
192,152,176
216,167,169
200,184,192
236,312,168
232,264,144
272,248,168
424,496,472
801,303,320
464,256,264
408,440,272
784,480,400
256,312,208
384,376,320
256,312,296
384,296,304
280,280,248
280,216,248
343,272,224
208,215,385
224,232,400
248,207,321
360,304,328
328,296,248
247,232,248
240,288,304
255,288,352
240,336,288
264,552,312
240,328,296
